StudentID,Name,Grade,Score,Subject,Semester
158,Student_158,C+,73.0,CS,Spring 2024
159,Student_159,B-,74.5,Math,Fall 2024
160,Student_160,F,87.9,Math,Spring 2025
161,Student_161,A-,86.3,Science,Spring 2025
162,Student_162,B,69.7,History,Fall 2024
163,Student_163,B-,90.7,Math,Spring 2025
164,Student_164,C,98.5,History,Fall 2024
165,Student_165,B-,68.4,English,Spring 2024
166,Student_166,C+,74.3,CS,Fall 2024
167,Student_167,A-,41.5,History,Spring 2024
168,Student_168,C-,46.2,CS,Spring 2024
169,Student_169,B,55.4,History,Spring 2025
170,Student_170,A,61.3,English,Spring 2025
171,Student_171,C+,51.6,Math,Spring 2025
172,Student_172,A-,67.5,English,Fall 2024
173,Student_173,A,61.8,Math,Fall 2024
174,Student_174,C-,84.1,Math,Spring 2025
175,Student_175,B,60.9,CS,Fall 2024
176,Student_176,C,33.7,English,Spring 2025
177,Student_177,B+,69.9,History,Fall 2024
178,Student_178,C,67.8,English,Spring 2024
179,Student_179,A,55.1,CS,Spring 2024
180,Student_180,B,69.4,Math,Spring 2025
181,Student_181,F,51.9,CS,Fall 2024
182,Student_182,C,72.9,Science,Fall 2024
183,Student_183,B,100.0,Science,Spring 2024
184,Student_184,B+,40.9,History,Spring 2024
185,Student_185,C-,60.3,CS,Spring 2025
186,Student_186,B-,57.9,History,Spring 2024
187,Student_187,C,61.5,History,Spring 2025
188,Student_188,C,83.3,Science,Spring 2024
189,Student_189,A+,76.1,History,Spring 2024
190,Student_190,A,80.7,Science,Fall 2024
191,Student_191,C+,68.5,Math,Spring 2024
192,Student_192,A-,48.2,CS,Spring 2024
193,Student_193,B+,51.3,History,Spring 2025
194,Student_194,D,79.2,Science,Spring 2024
195,Student_195,B-,70.6,English,Spring 2025
196,Student_196,C,86.9,History,Spring 2024
197,Student_197,B-,72.4,Math,Spring 2024
198,Student_198,B-,50.3,Math,Spring 2025
199,Student_199,A,60.2,English,Fall 2024
200,Student_200,B+,76.5,Science,Spring 2025
201,Student_201,B+,78.7,History,Spring 2025
202,Student_202,B,80.8,Science,Spring 2025
203,Student_203,C,52.3,Math,Fall 2024
204,Student_204,B,50.0,Science,Spring 2024
205,Student_205,B,65.2,Math,Spring 2025
206,Student_206,B,89.6,Science,Spring 2025
207,Student_207,A,57.6,English,Fall 2024
208,Student_208,B,74.8,CS,Spring 2025
209,Student_209,A-,74.8,English,Spring 2024
210,Student_210,A-,79.4,English,Fall 2024
211,Student_211,A,93.0,CS,Spring 2024
212,Student_212,B,91.4,CS,Spring 2024
213,Student_213,C,59.1,History,Fall 2024
214,Student_214,B+,36.5,History,Spring 2025
215,Student_215,B+,57.8,English,Spring 2024
216,Student_216,C+,69.1,English,Spring 2024
217,Student_217,A-,62.6,Math,Spring 2024
218,Student_218,D,97.5,Math,Spring 2024
219,Student_219,B-,68.3,History,Fall 2024
220,Student_220,B,77.8,History,Fall 2024
221,Student_221,B-,71.3,Math,Spring 2024
222,Student_222,A-,62.8,Math,Spring 2025
223,Student_223,C+,39.1,Science,Spring 2024
224,Student_224,B,66.8,Science,Spring 2025
225,Student_225,D,100.0,Math,Spring 2024
226,Student_226,A-,49.3,Science,Spring 2025
227,Student_227,B-,40.8,CS,Spring 2024
228,Student_228,B-,97.0,History,Spring 2025
229,Student_229,A+,79.1,History,Spring 2024
230,Student_230,B,70.8,Math,Spring 2024
231,Student_231,C,88.4,English,Spring 2025
232,Student_232,C-,55.5,Math,Fall 2024
233,Student_233,B+,66.4,Science,Spring 2025
234,Student_234,C,82.3,English,Fall 2024
235,Student_235,F,99.7,Science,Spring 2024
236,Student_236,C-,50.5,CS,Spring 2025
237,Student_237,A,87.2,Science,Spring 2025
238,Student_238,C,73.7,CS,Spring 2025
239,Student_239,B+,70.4,CS,Fall 2024
240,Student_240,F,67.9,Science,Fall 2024
241,Student_241,B,47.2,Science,Spring 2024
242,Student_242,A,82.4,CS,Fall 2024
243,Student_243,C,56.3,English,Fall 2024
244,Student_244,B+,51.8,CS,Spring 2024
245,Student_245,F,81.3,History,Spring 2025
246,Student_246,F,79.8,CS,Spring 2025
247,Student_247,C+,69.2,English,Spring 2024
248,Student_248,A,84.2,History,Spring 2025
249,Student_249,C+,89.4,Math,Fall 2024
250,Student_250,A,87.6,Math,Spring 2024
251,Student_251,A+,60.1,English,Spring 2024
252,Student_252,C-,83.2,CS,Spring 2024
253,Student_253,A-,71.2,Science,Spring 2025
254,Student_254,B,93.9,English,Spring 2024
255,Student_255,F,66.1,History,Spring 2024
256,Student_256,B+,62.7,History,Spring 2024
257,Student_257,B+,58.8,Math,Spring 2025
258,Student_258,D,70.8,History,Fall 2024
259,Student_259,A,75.0,English,Spring 2024
260,Student_260,C,75.3,History,Fall 2024
261,Student_261,F,73.2,English,Spring 2025
262,Student_262,D,78.1,Science,Spring 2025
263,Student_263,C+,64.7,Math,Spring 2025
264,Student_264,B+,54.9,History,Spring 2025
265,Student_265,B+,53.6,English,Fall 2024
266,Student_266,C,82.6,CS,Spring 2024
267,Student_267,C-,75.1,Math,Spring 2025
268,Student_268,B-,40.2,Science,Spring 2025
269,Student_269,B+,84.5,English,Fall 2024
270,Student_270,A,96.2,Science,Fall 2024
271,Student_271,A,57.3,Science,Spring 2025
272,Student_272,C+,73.0,History,Spring 2024
273,Student_273,B,60.9,History,Spring 2024
274,Student_274,D,77.4,English,Spring 2025
275,Student_275,C,50.5,CS,Fall 2024
276,Student_276,A-,66.9,English,Spring 2025
277,Student_277,C+,82.7,CS,Spring 2025
278,Student_278,B,86.5,Science,Fall 2024
279,Student_279,B-,74.4,Math,Spring 2025
280,Student_280,C,62.9,English,Spring 2025
281,Student_281,C,44.1,English,Spring 2025
282,Student_282,C-,56.6,CS,Fall 2024
283,Student_283,B+,61.0,Science,Spring 2024
284,Student_284,A+,57.5,Science,Spring 2024
285,Student_285,C,68.9,CS,Fall 2024
286,Student_286,A,62.9,Science,Spring 2024
287,Student_287,B+,70.6,History,Spring 2025
288,Student_288,A+,86.0,Math,Spring 2024
289,Student_289,C+,61.9,English,Spring 2025
290,Student_290,A-,47.3,Math,Spring 2024
291,Student_291,C+,57.5,English,Fall 2024
292,Student_292,F,76.8,History,Spring 2024
293,Student_293,A,78.2,Science,Spring 2024
294,Student_294,A,74.1,CS,Spring 2024
295,Student_295,B+,87.5,History,Fall 2024
296,Student_296,C-,65.2,Math,Spring 2024
297,Student_297,A-,98.8,CS,Fall 2024
298,Student_298,B,80.3,Science,Spring 2025
299,Student_299,A,30.1,History,Spring 2024
300,Student_300,C,95.0,CS,Fall 2024
